source,target,weight,lat_source,lng_source,lat_target,lng_target
82,22,1,51.13225900000001,17.065453,51.091457,17.017405
82,156,18,51.13225900000001,17.065453,51.12274,17.03061
82,35,14,51.13225900000001,17.065453,51.113871,17.034484
82,29,43,51.13225900000001,17.065453,51.120474,17.036641
82,178,7,51.13225900000001,17.065453,51.142323,17.127246
82,47,45,51.13225900000001,17.065453,51.121308,17.043077
82,174,2,51.13225900000001,17.065453,51.127778,16.990915
82,125,2,51.13225900000001,17.065453,51.12599,16.99725
82,10,3,51.13225900000001,17.065453,51.086689,17.01248
82,68,1,51.13225900000001,17.065453,51.099713,17.027905
82,100,58,51.13225900000001,17.065453,51.12887567,17.04499841
82,17,2,51.13225900000001,17.065453,51.111727,17.06768
82,208,1,51.13225900000001,17.065453,51.09761,17.06855
82,123,25,51.13225900000001,17.065453,51.12695,17.02804
82,75,2,51.13225900000001,17.065453,51.11277000000001,16.994446
82,109,2,51.13225900000001,17.065453,51.11869,16.95336
82,8,75,51.13225900000001,17.065453,51.112154,17.060451
82,2,15,51.13225900000001,17.065453,51.109782,17.030175
82,52,43,51.13225900000001,17.065453,51.115564,17.060704
82,53,59,51.13225900000001,17.065453,51.116822,17.051845
82,165,1,51.13225900000001,17.065453,51.07329,16.99485
82,148,155,51.13225900000001,17.065453,51.14905,17.07565
82,43,4,51.13225900000001,17.065453,51.115354,16.998732
82,203,8,51.13225900000001,17.065453,51.118030730849,17.095563411712998
82,168,3,51.13225900000001,17.065453,51.10666,17.142979999999998
82,12,2,51.13225900000001,17.065453,51.094521,17.020876
82,71,7,51.13225900000001,17.065453,51.107471,17.033335
82,113,1,51.13225900000001,17.065453,51.08015,17.062279999999998
82,60,8,51.13225900000001,17.065453,51.097147,17.056251
82,42,19,51.13225900000001,17.065453,51.104571,17.048102
82,98,1,51.13225900000001,17.065453,51.17592,16.998482
82,176,7,51.13225900000001,17.065453,51.15509,17.13249
82,32,30,51.13225900000001,17.065453,51.110274,17.034912
82,55,7,51.13225900000001,17.065453,51.10411,17.084711
82,23,10,51.13225900000001,17.065453,51.10592000000001,17.075857
82,16,74,51.13225900000001,17.065453,51.113562051419,17.050673961639
82,45,1,51.13225900000001,17.065453,51.117668,17.007137
82,63,3,51.13225900000001,17.065453,51.102117,17.013683
82,95,4,51.13225900000001,17.065453,51.160332109261,17.133682966231998
82,163,2,51.13225900000001,17.065453,51.08283,17.04824
82,131,196,51.13225900000001,17.065453,51.13198,17.07945
82,134,7,51.13225900000001,17.065453,51.150227,17.118548999999998
82,140,55,51.13225900000001,17.065453,51.11514,17.074360000000002
82,130,29,51.13225900000001,17.065453,51.12021,17.07779
82,149,42,51.13225900000001,17.065453,51.14259600000001,17.081411
82,199,1,51.13225900000001,17.065453,51.10823,17.021379999999994
82,155,21,51.13225900000001,17.065453,51.12469,17.034879999999998
82,77,3,51.13225900000001,17.065453,51.108288,17.064884
82,57,1,51.13225900000001,17.065453,51.089842,17.028225
82,38,4,51.13225900000001,17.065453,51.101322,17.028528
82,89,1,51.13225900000001,17.065453,51.07692,17.041439
82,107,1,51.13225900000001,17.065453,51.077147,17.046785
82,49,44,51.13225900000001,17.065453,51.12566,17.050463
82,50,6,51.13225900000001,17.065453,51.122313,17.047515
82,86,75,51.13225900000001,17.065453,51.136111,17.036262
82,116,20,51.13225900000001,17.065453,51.15013,17.02903
210,210,11,51.10377800000001,17.05155,51.10377800000001,17.05155
210,3,2,51.10377800000001,17.05155,51.09975,17.036228
210,1,2,51.10377800000001,17.05155,51.097108064432,17.036109566689
210,106,1,51.10377800000001,17.05155,51.06277,17.0321
210,27,2,51.10377800000001,17.05155,51.109332,17.060510999999998
210,158,1,51.10377800000001,17.05155,51.12814,17.05477
210,51,1,51.10377800000001,17.05155,51.110662,17.052712
210,41,2,51.10377800000001,17.05155,51.098959,17.051519
210,39,1,51.10377800000001,17.05155,51.1004,17.045082999999998
210,4,1,51.10377800000001,17.05155,51.124879,17.045844
210,197,2,51.10377800000001,17.05155,51.11289,17.03971
210,0,3,51.10377800000001,17.05155,51.108004,17.039528
210,178,2,51.10377800000001,17.05155,51.142323,17.127246
210,68,1,51.10377800000001,17.05155,51.099713,17.027905
210,100,2,51.10377800000001,17.05155,51.12887567,17.04499841
210,8,4,51.10377800000001,17.05155,51.112154,17.060451
210,2,3,51.10377800000001,17.05155,51.109782,17.030175
